================================================================================
Viral Abundance Report (MEGAHIT) - llnl_66ce4dde
================================================================================

Total mapped reads: 4,535,158
Viral contigs detected: 12875

Contig ID                      Length (bp)     Reads      RPM          RPKM         Identity (%)
k141_160474                    2016            116        25.58        12.69        22.30       
k141_108116                    1737            100        22.05        12.69        46.00       
k141_157435                    1164            67         14.77        12.69        39.40       
k141_44915                     1739            100        22.05        12.68        32.70       
k141_111694                    4676            269        59.31        12.68        43.00       
k141_7974                      6557            377        83.13        12.68        45.90       
k141_83276                     3703            213        46.97        12.68        58.50       
k141_158161                    1235            71         15.66        12.68        36.80       
k141_100941                    1704            98         21.61        12.68        24.70       
k141_57200                     3147            181        39.91        12.68        35.20       
k141_145101                    4434            255        56.23        12.68        30.20       
k141_37271                     2487            143        31.53        12.68        32.10       
k141_59454                     6034            347        76.51        12.68        25.70       
k141_51407                     4624            266        58.65        12.68        26.20       
k141_4316                      4555            262        57.77        12.68        37.70       
k141_16629                     2124            122        26.90        12.67        29.50       
k141_152840                    1741            100        22.05        12.67        30.10       
k141_137544                    8143            468        103.19       12.67        40.50       
k141_105183                    1270            73         16.10        12.67        42.40       
k141_11029                     11170           642        141.56       12.67        28.30       
k141_47028                     4576            263        57.99        12.67        47.60       
k141_61824                     1879            108        23.81        12.67        43.00       
k141_156577                    7049            405        89.30        12.67        30.70       
k141_107592                    3238            186        41.01        12.67        21.10       
k141_68122                     1479            85         18.74        12.67        31.80       
k141_107668                    1619            93         20.51        12.67        28.40       
k141_99331                     6021            346        76.29        12.67        34.20       
k141_131597                    1672            96         21.17        12.66        25.10       
k141_51085                     7489            430        94.81        12.66        26.40       
k141_27711                     13571           779        171.77       12.66        29.20       
k141_90751                     4022            231        50.94        12.66        25.30       
k141_8969                      1933            111        24.48        12.66        31.40       
k141_133149                    7350            422        93.05        12.66        33.20       
k141_60817                     3883            223        49.17        12.66        48.00       
k141_99250                     1517            87         19.18        12.65        36.50       
k141_125410                    1603            92         20.29        12.65        25.40       
k141_145553                    4341            249        54.90        12.65        28.80       
k141_148638                    2196            126        27.78        12.65        22.90       
k141_125921                    3731            214        47.19        12.65        55.60       
k141_134657                    2544            146        32.19        12.65        31.50       
k141_38829                     1220            70         15.43        12.65        35.40       
k141_109728                    2875            165        36.38        12.65        37.70       
k141_81514                     4411            253        55.79        12.65        27.40       
k141_26677                     4291            246        54.24        12.64        24.50       
k141_85921                     7537            432        95.26        12.64        34.50       
k141_49283                     2198            126        27.78        12.64        26.10       
k141_74622                     3140            180        39.69        12.64        23.10       
k141_35201                     6508            373        82.25        12.64        26.80       
k141_61022                     1500            86         18.96        12.64        50.90       
k141_77468                     4465            256        56.45        12.64        49.10       
k141_135508                    8010            459        101.21       12.64        29.70       
k141_23735                     6055            347        76.51        12.64        30.60       
k141_158073                    2899            166        36.60        12.63        30.10       
k141_96057                     4782            274        60.42        12.63        43.60       
k141_68461                     6370            365        80.48        12.63        49.20       
k141_139607                    4049            232        51.16        12.63        30.30       
k141_78239                     3353            192        42.34        12.63        32.40       
k141_160076                    1886            108        23.81        12.63        43.80       
k141_92648                     4209            241        53.14        12.63        37.30       
k141_31111                     6671            382        84.23        12.63        29.00       
k141_79702                     1328            76         16.76        12.62        32.50       
k141_2209                      3825            219        48.29        12.62        29.80       
k141_14962                     1328            76         16.76        12.62        58.20       
k141_93884                     2655            152        33.52        12.62        33.70       
k141_158563                    6043            346        76.29        12.62        27.30       
k141_121514                    1328            76         16.76        12.62        26.00       
k141_107842                    3424            196        43.22        12.62        30.20       
k141_110778                    1066            61         13.45        12.62        26.20       
k141_167683                    2831            162        35.72        12.62        28.40       
k141_43214                     1713            98         21.61        12.61        33.20       
k141_133353                    11509           658        145.09       12.61        29.10       
k141_120206                    1819            104        22.93        12.61        26.80       
k141_4467                      3059            175        38.59        12.61        23.20       
k141_84143                     1242            71         15.66        12.61        46.20       
k141_69274                     7574            433        95.48        12.61        31.20       
k141_85090                     5385            308        67.91        12.61        29.70       
k141_109808                    6573            376        82.91        12.61        35.90       
k141_99945                     2799            160        35.28        12.60        34.60       
k141_118717                    5950            340        74.97        12.60        46.60       
k141_170644                    4251            243        53.58        12.60        28.80       
k141_74342                     1522            87         19.18        12.60        38.20       
k141_36368                     7698            440        97.02        12.60        30.60       
k141_11420                     4043            231        50.94        12.60        37.40       
k141_53301                     2695            154        33.96        12.60        38.80       
k141_29614                     17775           1016       224.03       12.60        43.70       
k141_119820                    2327            133        29.33        12.60        26.30       
k141_136298                    1645            94         20.73        12.60        28.50       
k141_89333                     1278            73         16.10        12.60        42.40       
k141_50254                     1330            76         16.76        12.60        27.90       
k141_69060                     1366            78         17.20        12.59        29.90       
k141_50669                     3414            195        43.00        12.59        60.10       
k141_80594                     1857            106        23.37        12.59        24.90       
k141_170691                    1121            64         14.11        12.59        32.60       
k141_155658                    1629            93         20.51        12.59        40.40       
k141_60637                     1699            97         21.39        12.59        34.40       
k141_167490                    3942            225        49.61        12.59        30.80       
k141_43983                     1244            71         15.66        12.58        36.10       
k141_174286                    6118            349        76.95        12.58        37.60       
k141_179821                    2524            144        31.75        12.58        29.60       
k141_20285                     7347            419        92.39        12.58        28.30       
k141_145017                    3366            192        42.34        12.58        30.00       
k141_161599                    16177           923        203.52       12.58        28.80       
k141_86528                     1122            64         14.11        12.58        28.10       
k141_52454                     1209            69         15.21        12.58        35.30       
k141_149906                    1297            74         16.32        12.58        29.00       
k141_175785                    5422            309        68.13        12.57        34.10       
k141_3924                      3281            187        41.23        12.57        47.90       
k141_75603                     2824            161        35.50        12.57        28.10       
k141_44994                     1631            93         20.51        12.57        44.80       
k141_32668                     6436            367        80.92        12.57        35.50       
k141_117123                    1351            77         16.98        12.57        44.40       
k141_115147                    2246            128        28.22        12.57        32.70       
k141_133954                    2844            162        35.72        12.56        49.70       
k141_66106                     2457            140        30.87        12.56        33.70       
k141_27275                     2669            152        33.52        12.56        41.00       
k141_120306                    4160            237        52.26        12.56        38.90       
k141_49618                     2229            127        28.00        12.56        26.00       
k141_86464                     8923            508        112.01       12.55        24.70       
k141_162028                    2531            144        31.75        12.55        32.00       
k141_153120                    17031           969        213.66       12.55        31.20       
k141_179896                    1986            113        24.92        12.55        33.80       
k141_25202                     1652            94         20.73        12.55        27.80       
k141_47086                     3428            195        43.00        12.54        34.00       
k141_52357                     1495            85         18.74        12.54        40.40       
k141_94855                     2233            127        28.00        12.54        32.70       
k141_113484                    1248            71         15.66        12.54        22.80       
k141_58790                     2022            115        25.36        12.54        29.60       
k141_26882                     4519            257        56.67        12.54        37.60       
k141_1609                      3656            208        45.86        12.54        22.80       
k141_27446                     5294            301        66.37        12.54        49.20       
k141_146182                    1126            64         14.11        12.53        33.00       
k141_151544                    1003            57         12.57        12.53        25.10       
k141_88253                     1038            59         13.01        12.53        30.10       
k141_118873                    1126            64         14.11        12.53        25.80       
k141_177030                    1373            78         17.20        12.53        47.00       
k141_72209                     1408            80         17.64        12.53        49.70       
k141_72890                     1179            67         14.77        12.53        57.80       
k141_35293                     3889            221        48.73        12.53        27.10       
k141_94110                     1636            93         20.51        12.53        27.60       
k141_144485                    3501            199        43.88        12.53        33.00       
k141_75655                     2535            144        31.75        12.53        32.20       
k141_162127                    5192            295        65.05        12.53        55.80       
k141_138670                    6709            381        84.01        12.52        54.50       
k141_140032                    3469            197        43.44        12.52        45.20       
k141_72992                     10741           610        134.50       12.52        26.50       
k141_35605                     2307            131        28.89        12.52        30.10       
k141_96192                     3433            195        43.00        12.52        30.00       
k141_16001                     1303            74         16.32        12.52        33.30       
k141_71488                     1973            112        24.70        12.52        32.50       
k141_57565                     5581            317        69.90        12.52        26.90       
k141_80883                     4706            267        58.87        12.51        39.90       
k141_65520                     7383            419        92.39        12.51        24.00       
k141_123662                    3138            178        39.25        12.51        34.40       
k141_175243                    2627            149        32.85        12.51        45.90       
k141_134754                    1235            70         15.43        12.50        28.90       
k141_48708                     2294            130        28.66        12.50        39.80       
k141_49825                     3829            217        47.85        12.50        36.10       
k141_90233                     1182            67         14.77        12.50        24.60       
k141_177745                    1552            88         19.40        12.50        39.50       
k141_91158                     7461            423        93.27        12.50        24.90       
k141_134397                    1570            89         19.62        12.50        38.00       
k141_58487                     3280            186        41.01        12.50        29.40       
k141_150240                    7566            429        94.59        12.50        27.70       
k141_28737                     2294            130        28.66        12.50        32.60       
k141_8277                      2575            146        32.19        12.50        28.00       
k141_28013                     2543            144        31.75        12.49        36.80       
k141_171981                    2366            134        29.55        12.49        55.30       
k141_166444                    2453            139        30.65        12.49        37.20       
k141_53043                     7097            402        88.64        12.49        22.10       
k141_63719                     9161            519        114.44       12.49        26.70       
k141_68011                     4960            281        61.96        12.49        25.20       
k141_136270                    5049            286        63.06        12.49        33.10       
k141_129817                    1201            68         14.99        12.48        38.60       
k141_163580                    2208            125        27.56        12.48        35.90       
k141_25234                     3232            183        40.35        12.48        25.60       
k141_12529                     1290            73         16.10        12.48        25.50       
k141_19657                     3197            181        39.91        12.48        28.20       
k141_165354                    8410            476        104.96       12.48        43.40       
k141_123014                    2826            160        35.28        12.48        26.20       
k141_58562                     7300            413        91.07        12.47        24.50       
k141_57436                     9091            514        113.34       12.47        27.00       
k141_32220                     1415            80         17.64        12.47        42.20       
k141_106093                    1238            70         15.43        12.47        27.70       
k141_122714                    1096            62         13.67        12.47        27.80       
k141_60025                     1397            79         17.42        12.47        38.40       
k141_61504                     1770            100        22.05        12.46        31.70       
k141_165700                    1044            59         13.01        12.46        44.30       
k141_141888                    2938            166        36.60        12.46        42.10       
k141_136012                    1009            57         12.57        12.46        34.40       
k141_32524                     1966            111        24.48        12.45        42.90       
k141_106217                    5915            334        73.65        12.45        24.70       
k141_85086                     3809            215        47.41        12.45        43.40       
k141_140885                    4497            254        56.01        12.45        31.00       
k141_176508                    4996            282        62.18        12.45        36.50       
k141_94230                     1187            67         14.77        12.45        36.00       
k141_174013                    2303            130        28.66        12.45        41.70       
k141_177343                    1098            62         13.67        12.45        32.80       
k141_170034                    6064            342        75.41        12.44        30.20       
k141_60130                     3882            219        48.29        12.44        26.30       
k141_170974                    1170            66         14.55        12.44        34.00       
k141_139695                    2641            149        32.85        12.44        35.90       
k141_93198                     2747            155        34.18        12.44        33.20       
k141_78006                     2091            118        26.02        12.44        26.70       
k141_86779                     6400            361        79.60        12.44        32.00       
k141_150533                    3298            186        41.01        12.44        39.90       
k141_21887                     8791            496        109.37       12.44        34.70       
k141_75714                     1329            75         16.54        12.44        40.70       
k141_78430                     1276            72         15.88        12.44        38.50       
k141_151609                    1825            103        22.71        12.44        36.60       
k141_108123                    4713            266        58.65        12.44        30.60       
k141_7522                      4590            259        57.11        12.44        30.30       
k141_10553                     4401            248        54.68        12.43        23.80       
k141_75043                     3512            198        43.66        12.43        28.70       
k141_39455                     1881            106        23.37        12.43        47.30       
k141_63438                     7663            432        95.26        12.43        26.00       
k141_178321                    4666            263        57.99        12.43        27.20       
k141_73161                     5094            287        63.28        12.42        33.90       
k141_50228                     2609            147        32.41        12.42        45.20       
k141_95265                     3159            178        39.25        12.42        39.20       
k141_110812                    6762            381        84.01        12.42        37.10       
k141_141716                    4490            253        55.79        12.42        29.00       
k141_109393                    3000            169        37.26        12.42        36.20       
k141_46837                     1385            78         17.20        12.42        33.20       
k141_42375                     7811            440        97.02        12.42        28.30       
k141_99909                     2166            122        26.90        12.42        42.90       
k141_135128                    2078            117        25.80        12.42        32.20       
k141_3831                      1688            95         20.95        12.41        40.80       
k141_29075                     3660            206        45.42        12.41        30.20       
k141_129375                    1333            75         16.54        12.41        31.20       
k141_105401                    1830            103        22.71        12.41        26.70       
k141_75157                     5971            336        74.09        12.41        31.80       
k141_165937                    2612            147        32.41        12.41        28.30       
k141_102911                    8135            458        100.99       12.41        30.00       
k141_6337                      1848            104        22.93        12.41        27.20       
k141_70854                     1421            80         17.64        12.41        27.10       
k141_130475                    1173            66         14.55        12.41        30.30       
k141_35661                     1315            74         16.32        12.41        34.50       
k141_113960                    6767            381        84.01        12.41        31.90       
k141_95363                     4605            259        57.11        12.40        32.70       
k141_113788                    1849            104        22.93        12.40        31.80       
k141_140739                    4819            271        59.76        12.40        35.30       
k141_114705                    6524            367        80.92        12.40        26.00       
k141_1467                      2883            162        35.72        12.39        37.70       
k141_105851                    4841            272        59.98        12.39        35.60       
k141_140443                    1103            62         13.67        12.39        39.20       
k141_92877                     1121            63         13.89        12.39        43.80       
k141_30108                     1014            57         12.57        12.39        35.70       
k141_65025                     5604            315        69.46        12.39        29.90       
k141_48599                     6466            363        80.04        12.38        28.50       
k141_37824                     1674            94         20.73        12.38        43.40       
k141_154388                    2726            153        33.74        12.38        31.10       
k141_508                       2102            118        26.02        12.38        28.40       
k141_51703                     2066            116        25.58        12.38        27.40       
k141_4484                      3777            212        46.75        12.38        35.60       
k141_95435                     5113            287        63.28        12.38        34.00       
k141_4201                      10156           570        125.68       12.38        29.10       
k141_117016                    5484            308        67.91        12.38        30.50       
k141_159193                    1906            107        23.59        12.38        33.90       
k141_93668                     5630            316        69.68        12.38        33.30       
k141_95489                     4169            234        51.60        12.38        40.50       
k141_108023                    5171            290        63.94        12.37        33.00       
k141_70571                     1479            83         18.30        12.37        33.30       
k141_4178                      3477            195        43.00        12.37        32.50       
k141_114217                    12517           702        154.79       12.37        49.40       
k141_89518                     1319            74         16.32        12.37        29.30       
k141_102146                    1961            110        24.25        12.37        43.50       
k141_172296                    3386            190        41.89        12.37        48.50       
k141_96806                     2015            113        24.92        12.37        27.90       
k141_21861                     1533            86         18.96        12.37        32.50       
k141_9887                      1372            77         16.98        12.37        33.50       
k141_11373                     4154            233        51.38        12.37        37.60       
k141_112395                    2088            117        25.80        12.36        23.80       
k141_12077                     1391            78         17.20        12.36        28.80       
k141_7849                      1177            66         14.55        12.36        35.60       
k141_147678                    3408            191        42.12        12.36        33.80       
k141_167037                    2354            132        29.11        12.36        53.50       
k141_68229                     1784            100        22.05        12.36        29.50       
k141_108494                    6777            380        83.79        12.36        26.10       
k141_30090                     1070            60         13.23        12.36        33.30       
k141_120613                    5993            336        74.09        12.36        29.40       
k141_111699                    3215            180        39.69        12.35        28.10       
k141_16214                     1678            94         20.73        12.35        31.50       
k141_46388                     3590            201        44.32        12.35        31.10       
k141_99413                     3446            193        42.56        12.35        30.30       
k141_4210                      7821            438        96.58        12.35        26.80       
k141_73557                     2162            121        26.68        12.34        26.40       
k141_104696                    5165            289        63.72        12.34        39.80       
k141_176905                    1090            61         13.45        12.34        26.80       
k141_117384                    9070            507        111.79       12.33        29.40       
k141_72528                     5935            332        73.21        12.33        31.80       
k141_111372                    2862            160        35.28        12.33        28.50       
k141_146243                    1073            60         13.23        12.33        38.50       
k141_34370                     2415            135        29.77        12.33        47.00       
k141_70669                     4293            240        52.92        12.33        36.80       
k141_170243                    5723            320        70.56        12.33        35.30       
k141_166976                    13381           748        164.93       12.33        27.80       
k141_124957                    4398            246        54.24        12.33        36.20       
k141_82769                     5114            286        63.06        12.33        37.50       
k141_152665                    1342            75         16.54        12.32        57.50       
k141_133548                    17284           966        213.00       12.32        36.70       
k141_133308                    1683            94         20.73        12.32        42.40       
k141_82993                     6000            335        73.87        12.31        39.10       
k141_43636                     1379            77         16.98        12.31        26.20       
k141_65797                     3474            194        42.78        12.31        44.80       
k141_33543                     1272            71         15.66        12.31        29.90       
k141_127206                    4479            250        55.12        12.31        32.20       
k141_85578                     1201            67         14.77        12.30        30.70       
k141_81198                     1237            69         15.21        12.30        38.00       
k141_106027                    2779            155        34.18        12.30        29.40       
k141_54703                     7890            440        97.02        12.30        34.50       
k141_95015                     1631            91         20.07        12.30        44.90       
k141_164772                    3728            208        45.86        12.30        31.50       
k141_109927                    1900            106        23.37        12.30        27.90       
k141_159227                    2366            132        29.11        12.30        26.80       
k141_92876                     1615            90         19.84        12.29        46.80       
k141_114343                    6422            358        78.94        12.29        31.90       
k141_126953                    2242            125        27.56        12.29        26.10       
k141_139980                    4826            269        59.31        12.29        25.80       
k141_105310                    2547            142        31.31        12.29        46.40       
k141_74291                     2206            123        27.12        12.29        40.40       
k141_38269                     1401            78         17.20        12.28        34.60       
k141_1001                      4631            258        56.89        12.28        29.90       
k141_61442                     2443            136        29.99        12.28        30.40       
k141_175711                    1904            106        23.37        12.28        25.20       
k141_136479                    5119            285        62.84        12.28        30.50       
k141_152216                    1868            104        22.93        12.28        44.10       
k141_1958                      3071            171        37.71        12.28        46.80       
k141_61344                     2265            126        27.78        12.27        23.80       
k141_97797                     1294            72         15.88        12.27        28.30       
k141_34392                     7207            401        88.42        12.27        25.10       
k141_98848                     2192            122        26.90        12.27        33.90       
k141_100818                    6091            339        74.75        12.27        43.00       
k141_129890                    3594            200        44.10        12.27        42.00       
k141_176875                    1492            83         18.30        12.27        66.70       
k141_108819                    1150            64         14.11        12.27        37.30       
k141_30993                     3649            203        44.76        12.27        30.70       
k141_173600                    4744            264        58.21        12.27        36.40       
k141_53092                     7169            399        87.98        12.27        38.80       
k141_40506                     1582            88         19.40        12.27        28.40       
k141_68619                     5282            294        64.83        12.27        53.50       
k141_79841                     1815            101        22.27        12.27        36.60       
k141_43502                     7316            407        89.74        12.27        27.00       
k141_144982                    9343            520        114.66       12.27        36.80       
k141_76379                     2770            154        33.96        12.26        46.40       
k141_162619                    9140            508        112.01       12.26        23.10       
k141_110864                    1151            64         14.11        12.26        23.10       
k141_177592                    1834            102        22.49        12.26        42.00       
k141_57032                     5072            282        62.18        12.26        28.80       
k141_30111                     1691            94         20.73        12.26        22.80       
k141_179091                    4481            249        54.90        12.25        37.50       
k141_112090                    5976            332        73.21        12.25        26.00       
k141_112251                    2196            122        26.90        12.25        30.10       
k141_134996                    1890            105        23.15        12.25        41.60       
k141_106983                    1494            83         18.30        12.25        23.50       
k141_63771                     7741            430        94.81        12.25        30.00       
k141_49052                     2052            114        25.14        12.25        27.90       
k141_118820                    1800            100        22.05        12.25        34.10       
k141_149234                    2717            151        33.30        12.25        26.60       
k141_59197                     1117            62         13.67        12.24        35.90       
k141_151846                    2197            122        26.90        12.24        30.90       
k141_78870                     3406            189        41.67        12.24        34.80       
k141_108204                    1261            70         15.43        12.24        26.70       
k141_171364                    3476            193        42.56        12.24        37.20       
k141_14331                     8072            448        98.78        12.24        23.10       
k141_160523                    3715            206        45.42        12.23        24.60       
k141_104664                    2650            147        32.41        12.23        39.60       
k141_76065                     7770            431        95.04        12.23        25.30       
k141_71421                     1622            90         19.84        12.23        24.20       
k141_32341                     1388            77         16.98        12.23        39.40       
k141_67872                     2055            114        25.14        12.23        54.60       
k141_109551                    7085            393        86.66        12.23        29.30       
k141_91399                     1154            64         14.11        12.23        31.80       
k141_136210                    2074            115        25.36        12.23        37.50       
k141_154801                    4777            265        58.43        12.23        32.10       
k141_88030                     1046            58         12.79        12.23        40.40       
k141_180413                    2346            130        28.66        12.22        30.80       
k141_81120                     12598           698        153.91       12.22        27.60       
k141_34691                     3357            186        41.01        12.22        31.00       
k141_126495                    7254            402        88.64        12.22        26.00       
k141_23586                     2491            138        30.43        12.22        38.10       
k141_168354                    3878            215        47.41        12.22        24.70       
k141_99323                     2023            112        24.70        12.21        50.00       
k141_153359                    8396            465        102.53       12.21        58.60       
k141_78553                     1553            86         18.96        12.21        31.50       
k141_130586                    1336            74         16.32        12.21        32.30       
k141_164614                    3430            190        41.89        12.21        31.10       
k141_9700                      2278            126        27.78        12.20        28.90       
k141_69970                     11912           659        145.31       12.20        30.90       
k141_19855                     4753            263        57.99        12.20        51.00       
k141_66919                     3868            214        47.19        12.20        25.70       
k141_88974                     1428            79         17.42        12.20        50.20       
k141_6787                      5730            317        69.90        12.20        31.40       
k141_67019                     1646            91         20.07        12.19        32.80       
k141_175696                    12232           676        149.06       12.19        28.40       
k141_52893                     8897            492        108.49       12.19        27.00       
k141_149145                    1284            71         15.66        12.19        30.10       
k141_107539                    1158            64         14.11        12.19        32.30       
k141_181228                    4414            244        53.80        12.19        30.20       
k141_87830                     13044           721        158.98       12.19        35.40       
k141_27465                     1610            89         19.62        12.19        27.40       
k141_153129                    1900            105        23.15        12.19        35.10       
k141_133880                    3401            188        41.45        12.19        26.90       
k141_65956                     2028            112        24.70        12.18        35.20       
k141_74863                     2336            129        28.44        12.18        38.40       
k141_2018                      2860            158        34.84        12.18        31.90       
k141_102670                    1448            80         17.64        12.18        34.30       
k141_130426                    1702            94         20.73        12.18        35.90       
k141_96823                     5685            314        69.24        12.18        35.70       
k141_151833                    4690            259        57.11        12.18        24.30       
k141_4677                      1684            93         20.51        12.18        33.50       
k141_132996                    1285            71         15.66        12.18        38.80       
k141_97245                     3187            176        38.81        12.18        25.90       
k141_130017                    1358            75         16.54        12.18        36.00       
k141_14251                     3312            183        40.35        12.18        50.40       
k141_93299                     1702            94         20.73        12.18        26.10       
k141_29053                     3024            167        36.82        12.18        33.10       
k141_152032                    4781            264        58.21        12.18        33.10       
k141_173380                    3333            184        40.57        12.17        24.90       
k141_155786                    3607            199        43.88        12.17        30.30       
k141_143003                    3189            176        38.81        12.17        43.80       
k141_27794                     1214            67         14.77        12.17        29.20       
k141_20333                     2303            127        28.00        12.16        30.10       
k141_77219                     5329            294        64.83        12.16        22.80       
k141_172691                    2993            165        36.38        12.16        33.30       
k141_167086                    1505            83         18.30        12.16        46.30       
k141_150670                    5475            302        66.59        12.16        25.30       
k141_167036                    4497            248        54.68        12.16        36.80       
k141_38209                     1796            99         21.83        12.15        57.40       
k141_51147                     6644            366        80.70        12.15        34.40       
k141_114809                    2631            145        31.97        12.15        44.90       
k141_44818                     8091            446        98.34        12.15        35.80       
k141_89211                     2667            147        32.41        12.15        45.00       
k141_165817                    1216            67         14.77        12.15        25.60       
k141_52809                     2995            165        36.38        12.15        26.70       
k141_73517                     7277            401        88.42        12.15        28.70       
k141_3796                      1417            78         17.20        12.14        30.10       
k141_38096                     1653            91         20.07        12.14        29.90       
k141_141183                    1508            83         18.30        12.14        25.20       
k141_107505                    5012            276        60.86        12.14        32.90       
k141_113934                    8157            449        99.00        12.14        32.10       
k141_52556                     2888            159        35.06        12.14        32.10       
k141_8699                      4414            243        53.58        12.14        25.60       
k141_140187                    7119            392        86.44        12.14        32.70       
k141_159953                    1671            92         20.29        12.14        39.60       
k141_41451                     1708            94         20.73        12.14        31.10       
k141_133405                    3397            187        41.23        12.14        21.80       
k141_31296                     1707            94         20.73        12.14        32.80       
k141_64371                     5594            308        67.91        12.14        30.20       
k141_119785                    1072            59         13.01        12.14        28.00       
k141_158429                    2162            119        26.24        12.14        30.30       
k141_140616                    1072            59         13.01        12.14        76.60       
k141_57768                     2816            155        34.18        12.14        37.80       
k141_145987                    2000            110        24.25        12.13        40.30       
k141_54425                     1491            82         18.08        12.13        38.60       
k141_84077                     2817            155        34.18        12.13        34.50       
k141_153609                    1236            68         14.99        12.13        53.20       
k141_87315                     1945            107        23.59        12.13        20.60       
k141_26267                     1309            72         15.88        12.13        33.20       
k141_125576                    5870            323        71.22        12.13        25.60       
k141_54278                     3840            211        46.53        12.12        20.70       
k141_64096                     1819            100        22.05        12.12        41.80       
k141_38670                     12265           674        148.62       12.12        38.00       
k141_16036                     5039            277        61.08        12.12        46.30       
k141_66183                     2875            158        34.84        12.12        35.40       
